Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
R.O.U.S,Cliffs of Insanity > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/106820609/rous,3.5,-1,Trad,5.10-,1,100.0,38.15145,-109.59834
Dancing Queen,The Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105883435/dancing-queen,3.5,-1,Trad,5.11+,1,70.0,38.17139,-109.59666
Black Widow Arete,The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/106049230/black-widow-arete,3.5,-1,Sport,5.11c,1,70.0,38.49649,-109.31053
Mini Skirts And Halter Tops,Shady Crag > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/109663424/mini-skirts-and-halter-tops,3.9,-1,Trad,5.11-,2,200.0,38.54511,-109.65489
Big Sky Mud Flaps,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105717733/big-sky-mud-flaps,2.9,-1,Sport,5.11a,1,100.0,38.54668,-109.59959
Abraxas Right,Abraxas Wall > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/106651376/abraxas-right,3.0,-1,Trad,5.10+,1,65.0,38.52692,-109.60023
Guava Jelly,Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/110794133/guava-jelly,3.3,-1,Sport,5.9+,1,80.0,38.47028,-109.27448
Princess Buttercup,Cliffs of Insanity > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/106597895/princess-buttercup,3.0,-1,Trad,5.10-,1,70.0,38.15145,-109.59834
Black Sun,Castleton Tower > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717817/black-sun,3.1,-1,Trad,5.10b,4,350.0,38.651,-109.3678
Seventh Serpent,Reptilian Wall > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/107911649/seventh-serpent,3.8,-1,Trad,5.11,1,100.0,38.54912,-109.69864
The Doil,The 100-yard Wall > Arches National Park > Southeast Utah > Utah,https://www.mountainproject.com/route/105956610/the-doil,3.2,-1,Trad,5.8,1,65.0,38.61942,-109.60868
Ferns Have Feelings Too,The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/107276707/ferns-have-feelings-too,3.0,-1,Sport,5.11c,1,65.0,38.49691,-109.31021
Shoot Up or Shut Up,Wall Street > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105966226/shoot-up-or-shut-up,3.0,-1,Trad,5.11a,1,80.0,38.54668,-109.59959
Dunn Route,Moses > Taylor Canyon > Island In The Sky > Southeast Utah > Utah,https://www.mountainproject.com/route/105717745/dunn-route,3.4,-1,Trad,5.11,5,600.0,38.47567,-109.91054
Xylokane,Abraxas Wall > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/106589450/xylokane,3.8,-1,Trad,5.11+,1,70.0,38.52692,-109.60023
Crack Slabbath,The Beach > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/116094125/crack-slabbath,3.4,-1,Trad,5.9+,1,60.0,38.16148,-109.58228
Maverick,The Hindu > Onion Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105717298/maverick,2.9,-1,"Trad, Aid",5.9 C2,4,250.0,38.70514,-109.31518
Krack Pipe,Abraxas Wall > Kane Springs Canyon > Southeast Utah > Utah,https://www.mountainproject.com/route/108452905/krack-pipe,2.9,-1,Trad,5.10+,1,90.0,38.52692,-109.60023
Good Times,Good Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah,https://www.mountainproject.com/route/110794487/good-times,3.1,-1,Sport,5.7,1,,38.47194,-109.28111
Ministry,The Rectory > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105717952/ministry,3.5,-1,Trad,5.11a/b,5,400.0,38.6571,-109.3678
Tax Free $,Mars > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106466062/tax-free,3.1,-1,Sport,5.10c,1,95.0,38.5714,-109.5815
Program Director,Deadman's Buttress > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/105718519/program-director,3.5,-1,Trad,5.10b/c,1,190.0,38.54832,-109.66055
Dawn of an Error,Deadman's Buttress > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/106612025/dawn-of-an-error,3.7,-1,Trad,5.11+,1,115.0,38.54832,-109.66055
Unnamed,Shady Crag > Long Canyon > Potash Road > Southeast Utah > Utah,https://www.mountainproject.com/route/110473416/unnamed,3.1,-1,Trad,5.10-,1,80.0,38.54511,-109.65489
Karin's Corner,Sacred Cow Wall > Indian Creek > Southeast Utah > Utah,https://www.mountainproject.com/route/105809848/karins-corner,3.2,-1,Trad,5.11-,1,150.0,38.14011,-109.58944
Longbow Chimney,Parriot Mesa > Castle Valley > Southeast Utah > Utah,https://www.mountainproject.com/route/105834098/longbow-chimney,3.1,-1,"Trad, Aid",5.8 A1,2,300.0,38.6727,-109.40484
