Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Afternoon Delight,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120541604/afternoon-delight,2.8,-1,Sport,5.10a,1,35.0,33.34213,-112.07597
Changes in Lattitude,Sven Slab > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109735290/changes-in-lattitude,2.8,-1,"Trad, TR",5.10b PG13,1,110.0,33.69245,-111.79542
Animal Attraction,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120562813/animal-attraction,3.0,-1,Sport,5.11b,1,40.0,33.34213,-112.07597
Dermatome,Sven Tower 3 > Sven Towers > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/111558215/dermatome,2.9,-1,Trad,5.10-,1,65.0,33.68722,-111.7946
A Million Ways to Die,Gargoyle Wall > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120261320/a-million-ways-to-die,3.0,-1,Sport,5.10c,3,230.0,33.5192,-111.9694
Boston Bee Strangler,Granite Ballroom > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118182659/boston-bee-strangler,3.0,-1,Trad,5.8+,1,52.0,33.68461,-111.79018
"Triple ""J"" Direct",Main Wall > Hog Heaven > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/112468491/triple-j-direct,2.9,-1,Trad,5.10b PG13,1,170.0,33.67856,-111.7963
Deliverance,Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/106534547/deliverance,3.2,-1,Trad,5.11c,1,65.0,33.72624,-111.86334
High Dive,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120588335/high-dive,2.9,-1,Sport,5.11a,1,30.0,33.34213,-112.07597
Woody Wampler’s Dusty Nuggets,The Motherlode > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118714587/woody-wamplers-dusty-nuggets,3.0,-1,Trad,5.10+,1,95.0,33.44934,-111.45786
