Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Reef Break,Aegir > Reef of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/108342800/reef-break,3.7,-1,Trad,5.11+,3,235.0,32.45988,-110.78488
Run Like Hell,Wall of the Trundling Trolls > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106224417/run-like-hell,3.3,-1,Trad,5.10-,1,100.0,32.38723,-110.71788
Odyssey,Poseidon > Reef of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107272394/odyssey,3.8,-1,Trad,5.11-,4,500.0,32.45909,-110.7854
Quick Death,Rappel Rock > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738248/quick-death,2.8,-1,Trad,5.9 PG13,1,120.0,32.4323,-110.7933
From Russia With Love,The Expansion Pack. > Crags Against Humanity > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/112936885/from-russia-with-love,2.9,-1,Sport,5.11b/c,1,80.0,32.32426,-110.70679
George of the Jungle,The Steep > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106217592/george-of-the-jungle,2.9,-1,Sport,5.11b/c,1,65.0,32.41932,-110.75528
Southpark,South Park > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105988008/southpark,2.9,-1,Sport,5.10b,1,80.0,32.4514,-110.7914
Spiderman,The Steep > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105814194/spiderman,3.1,-1,Sport,5.11+,1,70.0,32.41932,-110.75528
Flying Monkeys,Wall of the Dancing Dwarfs > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107723683/flying-monkeys,3.1,-1,Sport,5.10b/c,1,80.0,32.3883,-110.71712
Business as Usual,Wall of the Trundling Trolls > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106224432/business-as-usual,3.4,-1,Trad,5.10+,2,170.0,32.38723,-110.71788
Talk of the Nation,Wall of the Trundling Trolls > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106118752/talk-of-the-nation,3.0,-1,Sport,5.11a,1,80.0,32.38723,-110.71788
Sidewinder,Red Diamond Wall > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106447937/sidewinder,3.7,-1,Sport,5.10d,1,100.0,32.4033,-110.6912
Desire,Nurd Rock > 3 - Windy Point East > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738671/desire,3.7,-1,Trad,5.10 R,1,180.0,32.36627,-110.71518
Credibility Gap,Goosehead > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105953999/credibility-gap,3.5,-1,Trad,5.10c/d,1,100.0,32.37483,-110.70448
Warm and Free,Neptune > Reef of Rocks > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/106194999/warm-and-free,3.1,-1,Trad,5.10- PG13,2,250.0,32.46039,-110.78419
Sir Clipalot,Southeast Face > The Fortress > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107766463/sir-clipalot,3.3,-1,Sport,5.11-,3,240.0,32.43213,-110.79756
Spray Tan Handy Man,The Expansion Pack. > Crags Against Humanity > 1 -  Lower Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/112824353/spray-tan-handy-man,2.8,-1,Sport,5.11a,1,90.0,32.32426,-110.70679
No Brainer,Boneyard > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107830031/no-brainer,2.9,-1,Sport,5.10c,1,220.0,32.40369,-110.6965
Pull Me Up,Middle Earth > 5 - Windy Ridge > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105960284/pull-me-up,3.0,-1,Sport,5.10d,1,120.0,32.3804,-110.70245
Quickdraw McGraw,Wheeler Wall > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/105738581/quickdraw-mcgraw,3.7,-1,Trad,5.10 R,1,140.0,32.39653,-110.68825
You Bastards,South Park > 7 - Upper Highway > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107746870/you-bastards,4.0,-1,Sport,5.11+,1,105.0,32.4514,-110.7914
Graceland,Red Diamond Wall > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona,https://www.mountainproject.com/route/107126830/graceland,3.5,-1,Trad,5.10c,1,100.0,32.4033,-110.6912
