Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wholesome Fullback","North Face > Whiskey Peak > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732467/wholesome-fullback,3.5,-1,Trad,5.10b,2,210,36.03509,-115.46345
"Black Orpheus","Black Orpheus Amphitheater > (12) Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732809/black-orpheus,3.3,-1,Trad,5.9+,8,1500,36.10256,-115.49045
"Chicken Eruptus","Ragged Edges Area > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732836/chicken-eruptus,3.5,-1,Trad,"5.10b R",1,120,36.15756,-115.49799
"The Next Century","East Face > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732698/the-next-century,3.5,-1,Trad,"5.10c PG13",2,210,36.12301,-115.49265
"Caustic Cock","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105820098/caustic-cock,3.4,-1,Sport,5.11b,1,40,36.14903,-115.42296
"Sweet Thin","Brownstone Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106961976/sweet-thin,3.4,-1,Trad,5.9,7,730,36.11483,-115.4957
"Texas Hold 'Em","The Texas Wall / West Velvet Wall > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106153152/texas-hold-em,3.7,-1,Trad,5.11c,9,1100,36.03599,-115.46885
"Community Pillar","North Face > Magic Mountain > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732959/community-pillar,3.4,-1,Trad,5.9,8,700,36.12126,-115.49023
"Glitter Gulch","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105788000/glitter-gulch,3.5,-1,Sport,5.11a,1,65,36.15597,-115.43663
"Mary Jane","Mary Jane Cliff > Kyle Canyon > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/105859077/mary-jane,3.5,-1,Sport,5.11b,1,50,36.26933,-115.66735
Snagglepuss,"Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108781019/snagglepuss,3.5,-1,Sport,5.11a,1,80,36.14645,-115.42297
"The Grind","Sweet Pain Wall > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105939418/the-grind,3.4,-1,Sport,5.11b,1,65,36.15597,-115.43663
"Under the Boardwalk","The Pier > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105813238/under-the-boardwalk,3.4,-1,Sport,5.11a,1,50,36.1607,-115.44627
