Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Us and Them,07. Psychedelic Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113385563/us-and-them,3.3,-1,Sport,5.10,1,100,43.7201,-113.07682
Canary Legs,East Face/Chimney Rock > Chimney Rock > North Idaho > Idaho,https://www.mountainproject.com/route/117507502/canary-legs,3.8,-1,Trad,5.10b,1,110,48.6191,-116.6967
"Drill, Sargent",Boot Camp > East Idaho > Idaho,https://www.mountainproject.com/route/120592101/drill-sargent,3.8,-1,Sport,5.10c,1,50,43.26235,-112.04201
Great wide open,The Old Sawmill Slabs > Central Idaho > Idaho,https://www.mountainproject.com/route/112843470/great-wide-open,3.8,-1,Trad,5.9- PG13,3,300,44.26307,-114.44015
In Over My Head,"Myrtle  2 aka ""Turtle Arches"" > Boundary County Climbing Areas > North Idaho > Idaho",https://www.mountainproject.com/route/110782124/in-over-my-head,3.8,-1,"Trad, Alpine",5.10 PG13,2,350,48.71382,-116.64845
Money Ball,Ball Creek Wall > Boundary County Climbing Areas > North Idaho > Idaho,https://www.mountainproject.com/route/110246030/money-ball,3.8,-1,"Sport, TR",5.10,1,90,48.79828,-116.4898
Splittgerber-March Direct,The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho,https://www.mountainproject.com/route/105996464/splittgerber-march-direct,2.9,-1,"Trad, Alpine",5.10b,7,,44.06857,-114.97445
Greybeard,Outlaw Wall > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/117969032/greybeard,3.4,-1,Sport,5.9,1,90,47.70104,-116.96286
Dirty August,The Thinking Spot > McCall Area > West Idaho > Idaho,https://www.mountainproject.com/route/115964982/dirty-august,3.2,-1,Sport,5.10,1,85,45.00345,-116.05926
Hanging Humor,South Wall > Heise Rock > East Idaho > Idaho,https://www.mountainproject.com/route/106215691/hanging-humor,3.1,-1,Sport,5.10d,1,,43.6361,-111.6744
Fiesta,Fiesta Spire > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/119159453/fiesta,3.5,-1,Trad,5.10b,1,75,42.10369,-113.71709
Might As Well Jump,Darby Canyon > East Idaho > Idaho,https://www.mountainproject.com/route/106054958/might-as-well-jump,3.3,-1,Sport,5.10d,1,45,43.6769,-111.0238
Slow Ride,08. Rock of Ages > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113273335/slow-ride,3.0,-1,Sport,5.11a,2,150,43.72065,-113.0772
CLOSED TO CLIMBING This Schmoo's For You,CLOSED TO CLIMBING French Wall > CLOSED TO CLIMBING Le Petite Covette > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111421607/closed-to-climbing-this-schmoos-for-you,3.5,-1,Sport,5.10c,1,70,42.67786,-113.0014
Lemhi Winds,The Narrows left side > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/107295541/lemhi-winds,3.6,-1,"Sport, Alpine",5.10a,1,60,43.8691,-112.91622
Renegade,White Wall > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/105949574/renegade,3.0,-1,Sport,5.11a,1,60,42.09138,-113.70465
Ms. Smiley,2. Juniper Wall > 01. The Pit and Juniper Wall > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/118277636/ms-smiley,3.3,-1,Sport,5.10b,1,,42.72254,-113.0696
The Throb,West Car Body Canyon > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/107227237/the-throb,3.3,-1,"Trad, Sport",5.10d,1,50,43.53485,-116.08234
Lion Tamer,North Face > Lion's Head > North Idaho > Idaho,https://www.mountainproject.com/route/107831687/lion-tamer,3.3,-1,"Trad, Alpine",5.10c,5,800,48.7861,-116.72039
Cooper-Hiser,East Face/Chimney Rock > Chimney Rock > North Idaho > Idaho,https://www.mountainproject.com/route/117562990/cooper-hiser,3.4,-1,Trad,5.10,3,450,48.6191,-116.6967
Black Hole Sun,10. American Beauty > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/114524348/black-hole-sun,3.1,-1,Sport,5.10b,1,90,43.72106,-113.07745
For Whom the Bell Tolls,Roadside Rock > Mores Mountain > West Idaho > Idaho,https://www.mountainproject.com/route/110584178/for-whom-the-bell-tolls,3.0,-1,Sport,5.10a,1,75,43.8002,-116.0865
Buzz Cut,Boot Camp > East Idaho > Idaho,https://www.mountainproject.com/route/120591939/buzz-cut,3.7,-1,Sport,5.10a/b,1,45,43.26235,-112.04201
